Month-Year,Rail Station Name,NLC,Month Name (Travel Date),Calendar Year (Travel Date),Count of Taps
2018-05,Wembley Central,751,May,2018,480176
2018-05,Finchley Central,578,May,2018,356775
2018-05,Bayswater,517,May,2018,319357
2018-05,Finchley Road,579,May,2018,787197
2018-05,Finsbury Park LU,580,May,2018,1820012
2018-05,Watford Met,748,May,2018,152995
2018-05,Fulham Broadway,581,May,2018,744736
2018-05,Gants Hill,582,May,2018,560930
2018-05,Gloucester Road,583,May,2018,1122884
2018-05,Farringdon,577,May,2018,1917266
2018-05,Golders Green,584,May,2018,649670
2018-05,West Brompton,755,May,2018,398761
2018-05,Becontree,518,May,2018,296094
2018-05,Croxley,554,May,2018,90393
2018-05,West Kensington,760,May,2018,386772
2018-05,Dagenham East,555,May,2018,243338
2018-05,Dagenham Heathway,556,May,2018,506776
2018-05,Belsize Park,519,May,2018,468279
2018-05,Debden,557,May,2018,198973
2018-05,West Harrow,759,May,2018,85085
2018-05,Dollis Hill,558,May,2018,341904
2018-05,Ealing Broadway,560,May,2018,1401964
2018-05,Edgware Road B,774,May,2018,384555
2018-05,Ealing Common,561,May,2018,262642
2018-05,Earls Court,562,May,2018,1614668
2018-05,East Acton,563,May,2018,333178
2018-05,East Finchley,565,May,2018,538543
2018-05,West Ham,757,May,2018,403101
2018-05,East Ham,566,May,2018,1152396
2018-05,East Putney,567,May,2018,462827
2018-05,West Finchley,756,May,2018,125692
2018-05,Eastcote,564,May,2018,239039
2018-05,Edgware,568,May,2018,402638
2018-05,West Hampstead LU,758,May,2018,934312
2018-05,Euston Square,575,May,2018,900256
2018-05,Mansion House,639,May,2018,538817
2018-05,Tottenham Hale,729,May,2018,1129856
2018-05,Northwood Hills,662,May,2018,162508
2018-05,Stockwell,716,May,2018,936174
2018-05,Notting Hill Gate,663,May,2018,1282112
2018-05,Oakwood,664,May,2018,229184
2018-05,Stepney Green,715,May,2018,451941
2018-05,Osterley,667,May,2018,176657
2018-05,Arsenal,510,May,2018,243282
2018-05,Northwood,661,May,2018,227040
2018-05,Oval,668,May,2018,612932
2018-05,Oxford Circus,669,May,2018,6171845
2018-05,Paddington LU,670,May,2018,3848176
2018-05,Park Royal,671,May,2018,158307
2018-05,Stamford Brook,713,May,2018,212733
2018-05,Parsons Green,672,May,2018,500506
2018-05,Amersham,506,May,2018,179930
2018-05,Perivale,673,May,2018,209456
2018-05,Stanmore,714,May,2018,342236
2018-05,Piccadilly Circus,674,May,2018,3144836
2018-05,Northwick Park,660,May,2018,349056
2018-05,Northolt,657,May,2018,411778
